"","Early","Late"
"Bethans2001",4.17379,72.781911
"Bethans2002",7.429878,75
"Bethans2003",0,88.891378
"Bethans2004",0,36.872115
"Bethans2005",9.946807,83.730466
"Bethans2006",8.013894,67.283872
"Bethans2007",8.78658,75
"Bethans2008",25,63.413045
"Bethans2009",25.941452,50
"Bethans2010",17.963932,73.988545
"Bethans2011",69.193345,62.906902
"Bethans2012",11.533504,59.914204
"DebreGenetA2001",0,72.419514
"DebreGenetA2002",4.943422,66.479091
"DebreGenetA2003",5.034965,86.630038
"DebreGenetA2004",0,40.566658
"DebreGenetA2005",19.451579,77.18217
"DebreGenetA2006",20.254851,63.733893
"DebreGenetA2007",16.048381,72.640127
"DebreGenetA2008",22.870655,63.039039
"DebreGenetA2009",22.302662,50
"DebreGenetA2010",33.684114,82.257667
"DebreGenetA2011",69.032736,65.497664
"DebreGenetA2012",11.11613,59.23147
"EndaBagerima2001",3.841944,73.404785
"EndaBagerima2002",5.020939,72.950054
"EndaBagerima2003",4.644147,100
"EndaBagerima2004",0,37.950186
"EndaBagerima2005",12.0012731,84.274557
"EndaBagerima2006",4.644835,60.16749
"EndaBagerima2007",9.339388,72.04644
"EndaBagerima2008",25,62.0956333
"EndaBagerima2009",11.71755,50
"EndaBagerima2010",14.393997,80.625942
"EndaBagerima2011",68.249685,62.757271
"EndaBagerima2012",12.82417,60.155156
"Gendebta2001",3.841944,73.404785
"Gendebta2002",5.020939,72.950054
"Gendebta2003",4.644147,100
"Gendebta2004",0,37.950186
"Gendebta2005",12.0012731,84.274557
"Gendebta2006",4.644835,60.16749
"Gendebta2007",9.339388,72.04644
"Gendebta2008",25,62.0956333
"Gendebta2009",11.71755,50
"Gendebta2010",14.393997,80.625942
"Gendebta2011",68.249685,62.757271
"Gendebta2012",12.82417,60.155156
"MariamShewito2001",0,72.419514
"MariamShewito2002",4.943422,66.479091
"MariamShewito2003",5.034965,86.630038
"MariamShewito2004",0,40.566658
"MariamShewito2005",19.451579,77.18217
"MariamShewito2006",20.254851,63.733893
"MariamShewito2007",16.048381,72.640127
"MariamShewito2008",22.870655,63.039039
"MariamShewito2009",22.302662,50
"MariamShewito2010",33.684114,82.257667
"MariamShewito2011",69.032736,65.497664
"MariamShewito2012",11.11613,59.23147
"Seloda2001",4.17379,72.781911
"Seloda2002",7.429878,75
