"","Early","Early","Late","Late"
"Bethans",2003,2004,2004,2009
"DebreGenetA",2001,2004,2004,2009
"EndaBagerima",2001,2004,2004,2009
"Gendebta",2001,2004,2004,2009
"MariamShewito",2001,2004,2004,2009
"Seloda",2003,2004,2004,2009
"TahtayLegomti",2001,2004,2004,2009
"Wedikeshi",2003,2004,2004,2009
"Adiyikoro",2002,2004,2004,2009
"Adizata",2002,2004,2004,2009
"Betgebez",2004,2009,2004,2009
"LaelayMegariaTsemri",2003,2004,2004,2012
"Maysuru",2004,2007,2004,2012
"Sero",2004,2007,2004,2012
"TahtayDaeroka",2002,2004,2004,2009
"TahtayMegariaTsebri",2003,2004,2004,2012
"Gerjale",2003,2004,2004,2009
"KuluGizeLemlem",2003,2004,2004,2009
"LaelayDayu",2003,2004,2004,2009
"Limaat",2003,2009,2004,2012
"SelamBekalsi",2003,2009,2004,2009
"SelenWuha",2003,2009,2004,2012
"BarkaAdiswha",2002,2003,2004,2009
"FelegeWayane",2001,2002,2004,2009
"Golgolemalee",2002,2009,2004,2009
"Habees",2002,2003,2004,2009
"RubaFelege",2002,2009,2004,2009
"AbrahaAtsbaha",2002,2003,2004,2012
"AdiKisandid",2002,2003,2004,2009
"Aynalem",2002,2003,2004,2012
"Genfel",2002,2003,2004,2009
"MahbereWeyane",2002,2004,2004,2009
"Nagash",2002,2003,2004,2009
"AdiHa",2002,2009,2004,2009
"Atakilti",2001,2002,2004,2009
"AwetBikalsi",2002,2009,2004,2009
"Begashek",2001,2004,2004,2009
"DebreGenetK",2001,2008,2004,2009
"Menji",2001,2002,2004,2009
"AdisKigni",2003,2009,2004,2009
"Bala",2003,2006,2004,2009
"Ebo",2003,2004,2004,2012
"Hawelti",2002,2003,2004,2009
"Korme",2003,2004,2004,2009
"Mechare",2003,2004,2004,2009
"Tsigea",2002,2003,2004,2009
"Ulaga",2003,2004,2004,2012
"Asmena",2002,2009,2004,2012
"GuemseAgamet",2002,2006,2004,2012
"HadushAdi",2002,2006,2004,2012
"HadushHiwet",2002,2009,2004,2012
"Sendada",2002,2006,2004,2012
"Sinkata",2002,2006,2004,2012
"AdekeAla",2004,2009,2004,2008
"AdisAlemS",2004,2009,2004,2008
"AmdiWeyane",2004,2009,2004,2008
"HintsaWaza",2004,2009,2004,2008
"MayTeklia",2004,2009,2004,2008
"MetkelLemat",2003,2004,2004,2009
"Gera",2004,2007,2001,2004
"ImbaRufael",2004,2007,2001,2004
"Lemlem",2007,2008,2004,2011
"Mearey",2007,2008,2004,2011
"AdisAlemW",2003,2004,2004,2006
"Endachiwa",2002,2004,2004,2009
"Endagahamus",2004,2009,2004,2009
"Maekelawi",2004,2009,2004,2009
"MaekelSegli",2002,2003,2004,2009
"Selam",2002,2003,2004,2009
